inventory_id,product_id,warehouse,stock_quantity
1,1,New York,133
2,1,Dallas,136
3,2,Chicago,261
4,2,Dallas,240
5,2,New York,154
6,3,Chicago,247
7,4,Chicago,221
8,4,Dallas,193
9,4,New York,200
10,5,Chicago,248
11,5,Dallas,167
12,6,Chicago,46
13,6,New York,23
14,7,Chicago,18
15,7,New York,17
16,7,Dallas,10
17,8,Chicago,30
18,9,Dallas,35
19,9,Chicago,32
20,10,New York,42
21,10,Chicago,12
22,10,Dallas,20
23,11,New York,71
24,11,Dallas,135
25,11,Chicago,142
26,12,New York,148
27,12,Dallas,134
28,13,Chicago,146
29,13,New York,143
30,13,Dallas,83
31,14,Chicago,94
32,14,New York,98
33,15,Dallas,134
34,16,New York,51
35,16,Chicago,38
36,17,Dallas,31
37,18,New York,78
38,19,Dallas,70
39,19,New York,53
40,20,New York,69
41,20,Chicago,79
42,20,Dallas,74
43,21,Dallas,35
44,21,New York,93
45,21,Chicago,40
46,22,Dallas,57
47,22,Chicago,91
48,23,Chicago,17
49,23,Dallas,19
50,24,Dallas,44
51,24,Chicago,84
52,24,New York,115
53,25,Chicago,29
54,25,Dallas,45
55,25,New York,39
